"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1976","Rennie Stennett","PIT","25",".257",".277",".341",".618","654","168","59","2","60","18","-19.2","1.6","1012484"
"2011","Mark Ellis","- - -","34",".248",".288",".346",".634","480","119","55","7","41","14","-15.3","1.0","1443"
"1986","Tim Hulett","CHW","26",".231",".260",".379",".639","520","120","53","17","44","4","-21.6","1.1","1006174"
"2019","Yolmer Sanchez","CHW","27",".252",".318",".321",".638","496","125","59","2","43","5","-16.8","1.0","11602"
"1977","Frank White","KCR","26",".245",".284",".342",".626","474","116","59","5","50","23","-16.3","1.7","1013872"
"2007","Ray Durham","SFG","35",".218",".295",".343",".638","464","101","56","11","71","10","-27.2","-1.2","230"
"1980","Rodney Scott","MON","26",".224",".307",".293",".600","567","127","84","0","46","63","-12.5","0.4","1011693"
"1978","Julio Cruz","SEA","23",".235",".319",".269",".588","550","129","77","1","25","59","-13.1","1.6","1002842"
"1974","Denny Doyle","CAL","30",".260",".295",".311",".606","511","133","47","1","34","6","-13.3","2.3","1003460"
"2014","Omar Infante","KCR","32",".252",".295",".337",".632","528","133","50","6","66","9","-14.4","0.5","1609"
"1985","Jim Gantner","MIL","32",".254",".300",".327",".627","523","133","63","5","44","11","-21.1","1.5","1004483"
"1972","Derrel Thomas","SDP","21",".230",".290",".310",".600","500","115","48","5","36","9","-14.8","-0.6","1012971"
"1975","Ted Sizemore","STL","30",".240",".296",".301",".597","562","135","56","3","49","1","-24.6","-1.1","1012027"
"1971","Doug Griffin","BOS","24",".244",".291",".319",".610","483","118","51","3","27","11","-19.1","0.6","1005040"
"1990","Jose Lind","PIT","26",".261",".305",".340",".646","514","134","46","1","48","8","-17.0","1.0","1007623"
"2020","Jose Altuve","HOU","30",".219",".286",".344",".629","192","42","32","5","18","2","-5.5","0.2","5417"
"1978","Dave McKay","TOR","28",".238",".268",".351",".619","504","120","59","7","45","4","-20.8","-0.4","1008579"
"1972","Felix Millan","ATL","28",".257",".292",".313",".605","498","128","46","1","38","6","-19.9","-0.5","1008867"
"1976","Tito Fuentes","SDP","32",".263",".287",".310",".597","520","137","48","2","36","5","-15.5","0.3","1004385"
"1978","Dave Cash","MON","30",".252",".291",".315",".605","658","166","66","3","43","12","-22.5","0.8","1002041"
"1971","Tommy Helms","CIN","30",".258",".289",".325",".615","547","141","40","3","52","3","-17.0","2.2","1005616"
"1969","Tommy Helms","CIN","28",".269",".296",".317",".613","480","129","38","1","40","4","-22.6","-0.8","1005616"
"1996","Bret Boone","CIN","27",".233",".275",".354",".629","520","121","56","12","69","3","-27.7","0.0","1067"
