"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"2012","Rafael Furcal","STL","34",".264",".325",".346",".671","477","126","69","5","49","12","-7.0","0.7","88"
"2017","Freddy Galvis","PHI","27",".255",".309",".382",".690","608","155","71","12","61","14","-16.7","1.5","6609"
"2005","Angel Berroa","KCR","27",".270",".305",".375",".680","608","164","68","11","55","7","-15.7","0.4","591"
"2003","Cristian Guzman","MIN","25",".268",".311",".365",".676","534","143","78","3","53","18","-11.1","1.3","728"
"1984","Scott Fletcher","CHW","25",".250",".328",".311",".640","456","114","46","3","35","10","-11.5","2.6","1004155"
"1994","Walt Weiss","COL","30",".251",".336",".303",".639","423","106","58","1","32","12","-25.1","-0.9","1013748"
"1976","Bert Campaneris","OAK","34",".256",".331",".291",".622","536","137","67","1","52","54","-0.4","4.0","1001868"
"1980","Dave Concepcion","CIN","32",".260",".300",".360",".660","622","162","72","5","77","12","-11.2","1.7","1002494"
"1976","Don Kessinger","STL","33",".239",".320",".313",".633","502","120","55","1","40","3","-11.0","0.9","1006877"
"1974","Freddie Patek","KCR","29",".225",".324",".298",".622","537","121","72","3","38","33","-11.2","2.0","1010052"
"1990","Kurt Stillwell","KCR","25",".249",".304",".352",".656","506","126","60","3","51","0","-11.7","0.5","1012536"
"1977","Bert Campaneris","TEX","35",".254",".314",".341",".655","552","140","77","5","46","27","-17.6","3.0","1001868"
"1975","Don Kessinger","CHC","32",".243",".317",".319",".636","601","146","77","0","46","4","-23.9","-0.1","1006877"
"2013","Brandon Crawford","SFG","26",".248",".311",".363",".674","499","124","52","9","43","1","-5.5","2.2","5343"
"1983","Ozzie Smith","STL","28",".243",".321",".335",".657","552","134","69","3","50","34","-7.7","3.4","1012186"
"1969","Tom Tresh","- - -","31",".211",".294",".350",".644","474","100","59","14","46","4","-11.4","1.0","1013179"
"2013","Elvis Andrus","TEX","24",".271",".328",".331",".659","620","168","91","4","67","42","-6.4","2.8","8709"
"1977","Bill Russell","LAD","28",".278",".304",".360",".664","634","176","84","4","51","16","-15.6","3.1","1011311"
"1994","Mike Bordick","OAK","28",".253",".320",".335",".655","391","99","38","2","37","7","-13.6","0.8","129"
"1982","Ozzie Smith","STL","27",".248",".339",".314",".653","488","121","58","2","43","25","-7.3","4.1","1012186"
"2003","David Eckstein","ANA","28",".252",".325",".325",".651","452","114","59","3","31","16","-13.9","1.2","10"
"2005","Orlando Cabrera","LAA","30",".257",".309",".365",".674","540","139","70","8","57","21","-10.8","3.5","766"
"1970","Ted Kubiak","MIL","28",".252",".340",".313",".653","540","136","63","4","41","4","-17.0","-0.4","1007190"
"2013","Jimmy Rollins","PHI","34",".252",".318",".348",".667","600","151","65","6","39","22","-9.1","1.7","971"
"2005","Neifi Perez","CHC","32",".274",".298",".383",".681","572","157","59","9","54","8","-23.3","0.7","620"
"1983","Larry Bowa","CHC","37",".266",".312",".338",".650","500","133","73","2","43","7","-15.4","1.6","1001243"
"1976","Tim Foli","MON","25",".264",".281",".366",".647","546","144","41","6","54","6","-15.1","0.7","1004202"
"1973","Freddie Patek","KCR","28",".234",".311",".321",".632","501","117","82","5","45","36","-11.7","2.6","1010052"
"1970","Ed Brinkman","WAS","28",".262",".330",".301",".631","625","164","63","1","40","8","-16.1","3.5","1001438"
"2007","Juan Uribe","CHW","28",".234",".284",".394",".678","513","120","55","20","68","1","-21.5","0.6","454"
"2018","Tim Anderson","CHW","25",".240",".281",".406",".687","567","136","77","20","64","26","-8.0","2.0","15172"
"2001","Omar Vizquel","CLE","34",".255",".323",".334",".657","611","156","84","2","50","13","-22.1","0.1","411"
"2015","Ian Desmond","WSN","29",".233",".290",".384",".674","583","136","69","19","62","13","-7.3","1.4","6885"
"1987","Dick Schofield","CAL","24",".251",".305",".355",".660","479","120","52","9","46","19","-12.4","1.3","1011602"
"2018","Freddy Galvis","SDP","28",".248",".299",".380",".680","602","149","62","13","67","8","-12.0","1.2","6609"
"2007","Felipe Lopez","WSN","27",".245",".308",".352",".659","603","148","70","9","50","24","-25.4","-0.2","1311"
"2016","Danny Espinosa","WSN","29",".209",".306",".378",".684","516","108","66","24","72","9","-11.6","1.3","9219"
"2014","Xander Bogaerts","BOS","21",".240",".297",".362",".660","538","129","60","12","46","2","-11.6","0.1","12161"
"1975","Rick Burleson","BOS","24",".252",".305",".329",".634","580","146","66","6","62","8","-21.2","1.8","1001696"
"2001","Alex Gonzalez","FLA","24",".250",".303",".377",".680","515","129","57","9","48","2","-17.4","0.4","520"
"1978","Mario Guerrero","OAK","28",".275",".302",".345",".647","505","139","27","3","38","0","-11.5","0.3","1005118"
"1973","Luis Aparicio","BOS","39",".271",".324",".309",".633","499","135","56","0","49","13","-13.6","2.4","1000278"
"1983","Glenn Hoffman","BOS","24",".260",".306",".340",".646","473","123","56","4","41","1","-16.4","0.1","1005905"
"2002","Cristian Guzman","MIN","24",".273",".292",".385",".677","623","170","80","9","59","12","-20.7","1.1","728"
