"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"2017","Nolan Arenado","COL","26",".309",".373",".586",".959","606","187","100","37","130","3","26.3","5.7","9777"
"1988","Gary Gaetti","MIN","29",".301",".353",".551",".905","468","141","66","28","88","7","25.8","4.3","1004422"
"1972","Ron Santo","CHC","32",".302",".391",".487",".878","464","140","68","17","74","1","22.8","5.3","1011447"
"1987","Mike Schmidt","PHI","37",".293",".388",".548",".936","522","153","88","35","113","2","30.1","6.1","1011586"
"2017","Anthony Rendon","WSN","27",".301",".403",".533",".937","508","153","81","25","100","7","33.3","6.7","12861"
"1982","Toby Harrah","CLE","33",".304",".398",".490",".888","602","183","100","25","78","17","37.5","5.9","1005384"
"2005","David Wright","NYM","22",".306",".388",".523",".912","575","176","99","27","102","17","38.8","5.8","3787"
"1985","Mike Schmidt","PHI","35",".277",".375",".532",".907","549","152","89","33","93","1","34.9","5.2","1011586"
"1976","Pete Rose","CIN","35",".323",".404",".450",".854","665","215","130","10","63","9","37.0","7.4","1011217"
"1983","Pedro Guerrero","LAD","27",".298",".373",".531",".904","584","174","87","32","103","23","40.5","5.4","1005120"
"1979","Larry Parrish","MON","25",".307",".357",".551",".909","544","167","83","30","82","5","32.9","4.8","1010020"
"2005","Aramis Ramirez","CHC","27",".302",".358",".568",".926","463","140","72","31","92","0","14.8","2.9","1002"
"2019","Nolan Arenado","COL","28",".315",".379",".583",".962","588","185","102","41","118","3","27.5","6.0","9777"
"2020","Manny Machado","SDP","27",".304",".370",".580",".950","224","68","44","16","47","6","14.1","2.6","11493"
"2018","Jose Ramirez","CLE","25",".270",".387",".552",".939","578","156","110","39","105","34","51.5","8.1","13510"
"1989","Wade Boggs","BOS","31",".330",".430",".449",".879","621","205","113","3","54","2","34.3","8.3","1001124"
"1977","George Brett","KCR","24",".312",".373",".532",".905","564","176","105","22","88","14","30.0","7.1","1001400"
"1969","Tony Perez","CIN","27",".294",".357",".526",".883","629","185","103","37","122","4","30.5","6.3","1010188"
"2010","Adrian Beltre","BOS","31",".321",".365",".553",".919","589","189","84","28","102","2","26.9","6.4","639"
"2000","Travis Fryman","CLE","31",".321",".392",".516",".908","574","184","93","22","106","1","23.4","4.6","385"
"2018","Nolan Arenado","COL","27",".297",".374",".561",".935","590","175","104","38","110","2","26.9","5.8","9777"
"1979","Ron Cey","LAD","31",".281",".389",".499",".888","487","137","77","28","81","3","30.5","5.5","1002108"
"1996","Jeff Cirillo","MIL","26",".325",".391",".504",".894","566","184","101","15","83","4","17.5","4.2","1073"
"2010","Ryan Zimmerman","WSN","25",".307",".388",".510",".899","525","161","85","25","85","4","29.3","6.6","4220"
"1973","Sal Bando","OAK","29",".287",".375",".498",".873","592","170","97","29","98","4","39.8","6.4","1000505"
"2006","Alex Rodriguez","NYY","30",".290",".392",".523",".914","572","166","113","35","121","15","30.2","3.8","1274"
"1979","Bob Horner","ATL","21",".314",".346",".552",".898","487","153","66","33","98","0","20.2","2.5","1006026"
"1991","Bobby Bonilla","PIT","28",".302",".391",".492",".883","577","174","102","18","100","2","37.0","4.7","1001168"
"1995","Vinny Castilla","COL","27",".309",".347",".564",".911","527","163","82","32","90","2","5.7","2.3","84"
"1999","Tony Fernandez","TOR","37",".328",".427",".449",".877","485","159","73","6","75","6","18.5","2.5","1004002"
"2003","Scott Rolen","STL","28",".286",".382",".528",".910","559","160","98","28","104","13","31.8","6.2","970"
"1978","Doug DeCinces","BAL","27",".286",".346",".526",".872","511","146","72","28","80","7","29.4","6.6","1003123"
"2012","Adrian Beltre","TEX","33",".321",".359",".561",".921","604","194","95","36","102","1","31.4","6.3","639"
"1969","Ron Santo","CHC","29",".289",".384",".485",".869","575","166","97","29","123","1","25.7","6.0","1011447"
"2000","Phil Nevin","SDP","29",".303",".374",".543",".916","538","163","87","31","107","2","27.9","4.6","1049"
"2000","Scott Rolen","PHI","25",".298",".370",".551",".920","483","144","88","26","89","8","20.5","4.6","970"
"1999","Robin Ventura","NYM","31",".301",".379",".529",".908","588","177","88","32","120","1","26.0","7.3","854"
"1971","Dick Allen","LAD","29",".295",".395",".468",".863","549","162","82","23","90","8","36.1","5.2","1000137"
"2007","Aramis Ramirez","CHC","29",".310",".366",".549",".915","506","157","72","26","101","0","18.1","4.8","1002"
"1973","Bob Bailey","MON","30",".273",".379",".489",".868","513","140","77","26","86","5","24.0","5.4","1000420"
"1997","Ken Caminiti","SDP","34",".290",".389",".508",".897","486","141","92","26","90","11","29.3","3.7","1001863"
"2016","Nolan Arenado","COL","25",".294",".362",".570",".932","618","182","116","41","133","2","21.6","5.0","9777"
"2008","Aramis Ramirez","CHC","30",".289",".380",".518",".898","554","160","97","27","111","2","25.1","4.5","1002"
"1980","Buddy Bell","TEX","28",".329",".379",".498",".877","490","161","76","17","83","3","26.0","6.0","1000799"
"1995","Tim Naehring","BOS","28",".307",".415",".448",".863","433","133","61","10","57","0","16.6","4.1","1009433"
"1995","Ken Caminiti","SDP","32",".302",".380",".513",".894","526","159","74","26","94","12","27.9","3.6","1001863"
"1976","Ron Cey","LAD","28",".277",".386",".462",".848","502","139","69","23","80","0","27.8","6.4","1002108"
"1991","Wade Boggs","BOS","33",".332",".421",".460",".881","546","181","93","8","51","1","25.5","6.1","1001124"
"2009","Michael Young","TEX","32",".322",".374",".518",".892","541","174","76","22","68","8","12.1","2.6","1286"
"1975","Pete Rose","CIN","34",".317",".406",".432",".838","662","210","112","7","74","0","33.3","5.3","1011217"
"1977","Toby Harrah","TEX","28",".263",".393",".479",".872","539","142","90","27","87","27","35.2","5.5","1005384"
"1997","Vinny Castilla","COL","29",".304",".356",".547",".904","612","186","94","40","113","2","6.2","3.0","84"
"1974","Bob Bailey","MON","31",".280",".396",".446",".842","507","142","69","20","73","4","22.1","3.6","1000420"
"2013","Josh Donaldson","OAK","27",".301",".384",".499",".883","579","174","89","24","93","5","36.3","7.3","5038"
"2004","Eric Chavez","OAK","26",".276",".397",".501",".898","475","131","87","29","77","6","25.0","5.3","906"
"1991","Terry Pendleton","ATL","30",".319",".363",".517",".880","586","187","94","22","86","10","30.8","6.3","1010157"
"2012","Aramis Ramirez","MIL","34",".300",".360",".540",".901","570","171","92","27","105","9","26.2","5.4","1002"
"1991","Edgar Martinez","SEA","28",".307",".405",".452",".857","544","167","98","14","52","0","27.3","5.7","1086"
"1982","George Brett","KCR","29",".301",".378",".505",".884","552","166","101","21","82","6","29.0","5.7","1001400"
"1987","Kevin Seitzer","KCR","25",".323",".399",".470",".869","641","207","105","15","83","12","30.4","5.1","1011730"
"2018","Anthony Rendon","WSN","28",".308",".374",".535",".909","529","163","88","24","92","2","34.0","6.2","12861"
"2006","David Wright","NYM","23",".311",".381",".531",".912","582","181","96","26","116","20","31.2","4.7","3787"
"1993","Travis Fryman","DET","24",".300",".379",".486",".865","607","182","98","22","97","9","27.6","4.5","385"
"1981","Ron Cey","LAD","33",".288",".372",".474",".846","312","90","42","13","50","0","16.7","3.3","1002108"
"1994","Matt Williams","SFG","28",".267",".319",".607",".926","445","119","74","43","96","1","20.8","4.5","77"
"2006","Aramis Ramirez","CHC","28",".291",".352",".561",".912","594","173","93","38","119","2","17.0","3.7","1002"
"1970","Sal Bando","OAK","26",".263",".407",".430",".837","502","132","93","20","75","6","27.6","5.7","1000505"
