Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1982,Andre Thornton,CLE,Designated Hitter,32,0.273,0.386,0.484,0.87,589,161,90,32,116,6,26.2,3.2,1013037
1998,Matt Stairs,OAK,Designated Hitter,30,0.294,0.37,0.511,0.88,523,154,88,26,106,8,21.9,3.1,1384
1996,Chili Davis,CAL,Designated Hitter,36,0.292,0.387,0.496,0.884,530,155,73,28,95,5,17.5,2.4,1003041
2019,Austin Meadows,TBR,Designated Hitter,24,0.291,0.364,0.558,0.922,530,154,83,33,89,12,31.3,4.1,15672
2009,Hideki Matsui,NYY,Designated Hitter,35,0.274,0.367,0.509,0.876,456,125,62,28,90,0,18.2,2.4,1659
2005,David Dellucci,TEX,Designated Hitter,31,0.251,0.367,0.513,0.879,435,109,97,29,65,5,20.1,2.2,1402
2015,David Ortiz,BOS,Designated Hitter,39,0.273,0.36,0.553,0.913,528,144,73,37,108,0,22.3,2.9,745
1994,Edgar Martinez,SEA,Designated Hitter,31,0.285,0.387,0.482,0.869,326,93,47,13,51,6,12.7,3,1086
1980,Steve Kemp,DET,Designated Hitter,25,0.293,0.376,0.474,0.851,508,149,88,21,101,5,22.3,3.7,1006827
2019,Jorge Soler,KCR,Designated Hitter,27,0.265,0.354,0.569,0.922,589,156,95,48,117,3,30.4,3.6,14221
1987,Darrell Evans,DET,Designated Hitter,40,0.257,0.379,0.501,0.88,499,128,90,34,99,6,23.9,4.6,1003864
1992,Paul Molitor,MIL,Designated Hitter,35,0.32,0.389,0.461,0.851,609,195,89,12,89,31,32.9,4.3,1009040
2012,Billy Butler,KCR,Designated Hitter,26,0.313,0.373,0.51,0.882,614,192,72,29,107,2,19.9,2.7,7399
1980,Joe Charboneau,CLE,Designated Hitter,25,0.289,0.358,0.488,0.846,453,131,76,23,87,2,18,2.4,1002156
1991,Jack Clark,BOS,Designated Hitter,35,0.249,0.374,0.466,0.84,481,120,75,28,87,0,19.1,2.4,1002288
2000,Brad Fullmer,TOR,Designated Hitter,25,0.295,0.34,0.558,0.898,482,142,76,32,104,3,12.8,1.6,13
1994,Geronimo Berroa,OAK,Designated Hitter,29,0.306,0.379,0.485,0.864,340,104,55,13,65,7,14.5,2.3,1000900
1993,Danny Tartabull,NYY,Designated Hitter,30,0.25,0.363,0.503,0.866,513,128,87,31,102,0,23.2,2.9,1012829
1998,Frank Thomas,CHW,Designated Hitter,30,0.265,0.381,0.48,0.861,585,155,109,29,109,7,25.1,3,255
1985,Mike Young,BAL,Designated Hitter,25,0.273,0.348,0.513,0.861,450,123,72,28,81,1,18.8,3.3,1014386
2012,Joe Mauer,MIN,Designated Hitter,29,0.319,0.416,0.446,0.861,545,174,81,10,85,8,27.2,4.6,1857
1978,Rico Carty,,Designated Hitter,38,0.282,0.348,0.502,0.85,528,149,70,31,99,1,22.6,2.8,1002025
1991,Cecil Fielder,DET,Designated Hitter,27,0.261,0.347,0.513,0.86,624,163,102,44,133,0,26.8,3.8,1004026
1992,Mickey Tettleton,DET,Designated Hitter,31,0.238,0.379,0.469,0.848,525,125,82,32,83,0,22.2,5,1012939
1978,Reggie Jackson,NYY,Designated Hitter,32,0.274,0.356,0.477,0.834,511,140,82,27,97,14,23.5,3.3,1006308
1975,Jim Rice,BOS,Designated Hitter,22,0.309,0.35,0.491,0.841,564,174,92,22,102,10,17.8,2.9,1010897
2008,Vladimir Guerrero,LAA,Designated Hitter,33,0.303,0.365,0.521,0.886,541,164,85,27,91,5,14.7,1.9,778
1996,Geronimo Berroa,OAK,Designated Hitter,31,0.29,0.344,0.532,0.876,586,170,101,36,106,0,15.9,2.8,1000900
1974,Oscar Gamble,CLE,Designated Hitter,24,0.291,0.363,0.469,0.833,454,132,74,19,59,5,19.1,2.2,1004473
1983,Greg Luzinski,CHW,Designated Hitter,32,0.255,0.352,0.502,0.854,502,128,73,32,95,2,21.2,2.7,1007855
2002,Raul Ibanez,KCR,Designated Hitter,30,0.294,0.346,0.537,0.883,497,146,70,24,103,5,13.9,2.3,607
1984,Andre Thornton,CLE,Designated Hitter,34,0.271,0.366,0.484,0.85,587,159,91,33,99,6,24.2,3,1013037
2007,Frank Thomas,TOR,Designated Hitter,39,0.277,0.377,0.48,0.857,531,147,63,26,95,0,13.2,1.8,255
2016,Edwin Encarnacion,TOR,Designated Hitter,33,0.263,0.357,0.529,0.886,601,158,99,42,127,2,28.2,4,2151
1976,Rico Carty,CLE,Designated Hitter,36,0.31,0.379,0.442,0.821,552,171,67,13,83,1,27,3.3,1002025
2017,Edwin Encarnacion,CLE,Designated Hitter,34,0.258,0.377,0.504,0.881,554,143,96,38,107,2,16.7,2.3,2151
2008,Jack Cust,OAK,Designated Hitter,29,0.231,0.375,0.476,0.851,481,111,77,33,77,0,23.4,2.1,1564
1996,Paul Molitor,MIN,Designated Hitter,39,0.341,0.39,0.468,0.858,660,225,99,9,113,18,15.3,2.5,1009040
1983,Don Baylor,NYY,Designated Hitter,34,0.303,0.361,0.494,0.856,534,162,82,21,85,17,24.8,3.1,1000700
1988,Paul Molitor,MIL,Designated Hitter,31,0.312,0.384,0.452,0.836,609,190,115,13,60,41,30.4,5.3,1009040
2000,Greg Vaughn,TBD,Designated Hitter,34,0.254,0.365,0.499,0.864,461,117,83,28,74,8,13.2,2.2,1233
1977,Leroy Stanton,SEA,Designated Hitter,31,0.275,0.341,0.511,0.852,454,125,56,27,90,0,17.2,2.7,1012420
1999,Paul Konerko,CHW,Designated Hitter,23,0.294,0.352,0.511,0.862,513,151,71,24,81,1,13,1.9,242
1991,Harold Baines,OAK,Designated Hitter,32,0.295,0.383,0.473,0.857,488,144,76,20,90,0,22.8,2.5,1000434
1982,Greg Luzinski,CHW,Designated Hitter,31,0.292,0.386,0.451,0.837,583,170,87,18,102,1,22.7,2.9,1007855
1981,Ken Singleton,BAL,Designated Hitter,34,0.278,0.38,0.435,0.816,363,101,48,13,49,0,17.8,1.8,1012011
2012,Paul Konerko,CHW,Designated Hitter,36,0.298,0.371,0.486,0.857,533,159,66,26,75,0,16.3,2.1,242
2008,Jim Thome,CHW,Designated Hitter,37,0.245,0.362,0.503,0.865,503,123,93,34,90,1,10.8,1.7,409
1999,Mo Vaughn,ANA,Designated Hitter,31,0.281,0.358,0.508,0.866,524,147,63,33,108,0,12,1.9,899
1988,Eddie Murray,BAL,Designated Hitter,32,0.284,0.361,0.474,0.836,603,171,75,28,84,5,26.3,3.6,1009386
2016,Carlos Santana,CLE,Designated Hitter,30,0.259,0.366,0.498,0.865,582,151,89,34,87,5,23.4,3.3,2396
2014,Nelson Cruz,BAL,Designated Hitter,33,0.271,0.333,0.525,0.859,613,166,87,40,108,4,22.9,3.9,2434
1986,Larry Parrish,TEX,Designated Hitter,32,0.276,0.347,0.509,0.856,464,128,67,28,94,3,16.4,2.3,1010020
1993,Greg Vaughn,MIL,Designated Hitter,27,0.267,0.369,0.482,0.85,569,152,97,30,97,10,19.1,5,1233
2011,Michael Young,TEX,Designated Hitter,34,0.338,0.38,0.474,0.854,631,213,88,11,106,6,22.3,3.2,1286
2014,David Ortiz,BOS,Designated Hitter,38,0.263,0.355,0.517,0.873,518,136,59,35,104,0,15.8,2.2,745
2011,Victor Martinez,DET,Designated Hitter,32,0.33,0.38,0.47,0.85,540,178,76,12,103,1,12.3,1.8,393
2003,Rafael Palmeiro,TEX,Designated Hitter,38,0.26,0.359,0.508,0.867,561,146,92,38,112,2,14.2,2.7,1266
2007,Gary Sheffield,DET,Designated Hitter,38,0.265,0.378,0.462,0.839,494,131,107,25,75,22,21.9,3,114
1983,Hal McRae,KCR,Designated Hitter,37,0.311,0.372,0.462,0.833,589,183,84,12,82,2,21,2.7,1008687
2013,Adam Lind,TOR,Designated Hitter,29,0.288,0.357,0.497,0.854,465,134,67,23,67,1,12.7,1.6,8027
