Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1997,Willie Greene,CIN,Third Base,25,0.253,0.354,0.459,0.812,495,125,62,26,91,6,9.9,1.9,1005015
1987,Carney Lansford,OAK,Third Base,30,0.289,0.366,0.455,0.821,554,160,89,19,76,27,18.1,4.7,1007331
1974,Sal Bando,OAK,Third Base,30,0.243,0.352,0.426,0.778,498,121,84,22,103,2,19.2,4.1,1000505
2016,Jose Ramirez,CLE,Third Base,23,0.312,0.363,0.462,0.825,565,176,84,11,76,22,22.9,4.7,13510
1977,Len Randle,NYM,Third Base,28,0.304,0.383,0.404,0.787,513,156,78,5,27,33,13.2,4,1010693
1990,Brook Jacoby,CLE,Third Base,30,0.293,0.365,0.427,0.792,553,162,77,14,75,1,13.1,3.7,1006318
2009,Chipper Jones,ATL,Third Base,37,0.264,0.388,0.43,0.818,488,129,80,18,71,4,9.6,2.3,97
1995,Chipper Jones,ATL,Third Base,23,0.265,0.353,0.45,0.803,524,139,87,23,86,8,8.8,2.9,97
2013,Chris Johnson,ATL,Third Base,28,0.321,0.358,0.457,0.816,514,165,54,12,68,0,12.6,3.1,1191
2019,Matt Chapman,OAK,Third Base,26,0.249,0.342,0.506,0.848,583,145,102,36,91,1,23,6.2,16505
1997,Jeff Cirillo,MIL,Third Base,27,0.288,0.367,0.426,0.793,580,167,74,10,82,4,6.8,5,1073
1990,Tim Wallach,MON,Third Base,32,0.296,0.339,0.471,0.81,626,185,69,21,98,6,12.9,3.7,1013554
1975,Darrell Evans,ATL,Third Base,28,0.243,0.361,0.406,0.766,567,138,82,22,73,13,9,3.1,1003864
1994,Robin Ventura,CHW,Third Base,26,0.282,0.373,0.459,0.832,401,113,57,18,78,3,8,3,854
2010,Martin Prado,ATL,Third Base,26,0.307,0.35,0.459,0.809,599,184,100,15,66,5,18.3,3.8,3312
1976,Sal Bando,OAK,Third Base,32,0.24,0.335,0.427,0.762,550,132,75,27,84,20,21.2,5.1,1000505
1973,Ron Santo,CHC,Third Base,33,0.267,0.348,0.44,0.788,536,143,65,20,77,1,8.1,2.8,1011447
