Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1986,Tony Pena,PIT,Catcher,29,0.288,0.356,0.406,0.762,510,147,56,10,52,9,5.7,4,1010153
1993,Brian Harper,MIN,Catcher,33,0.304,0.347,0.425,0.772,530,161,52,12,73,1,1.4,2.3,1005376
1969,Bill Freehan,DET,Catcher,27,0.262,0.342,0.405,0.747,489,128,61,16,49,1,4.9,2.9,1004315
1973,Earl Williams,BAL,Catcher,24,0.237,0.333,0.425,0.758,459,109,58,22,83,0,7.9,3.4,1013995
1981,Gary Carter,MON,Catcher,27,0.251,0.313,0.444,0.756,374,94,48,16,68,1,3.8,3.9,1002015
2004,Mike Lieberthal,PHI,Catcher,32,0.271,0.335,0.447,0.783,476,129,58,17,61,1,-7.6,1.5,959
2020,Yasmani Grandal,CHW,Catcher,31,0.23,0.351,0.422,0.773,161,37,27,8,27,0,1.4,1.7,11368
1978,Gary Carter,MON,Catcher,24,0.255,0.336,0.422,0.758,533,136,76,20,72,10,8.1,5.1,1002015
1984,Tony Pena,PIT,Catcher,27,0.286,0.333,0.425,0.758,546,156,77,15,78,12,6.6,5,1010153
2006,Kenji Johjima,SEA,Catcher,30,0.291,0.332,0.451,0.783,506,147,61,18,76,3,-0.3,2.8,5811
1990,Brian Harper,MIN,Catcher,30,0.294,0.328,0.432,0.76,479,141,61,6,54,3,3.4,2.9,1005376
1995,Ivan Rodriguez,TEX,Catcher,23,0.303,0.327,0.449,0.776,492,149,56,12,67,0,-4.2,3,1275
1973,Carlton Fisk,BOS,Catcher,25,0.246,0.309,0.441,0.75,508,125,65,26,71,7,3.6,3.7,1004101
1981,Jim Sundberg,TEX,Catcher,30,0.277,0.369,0.366,0.735,339,94,42,3,28,2,5.6,3.4,1012724
1983,Terry Kennedy,SDP,Catcher,27,0.284,0.342,0.434,0.776,549,156,47,17,98,1,8.1,4.2,1006850
1986,Gary Carter,NYM,Catcher,32,0.255,0.337,0.439,0.776,490,125,81,24,105,1,10,3.8,1002015
1996,Javy Lopez,ATL,Catcher,25,0.282,0.322,0.466,0.788,489,138,56,23,69,1,-1.4,2,103
2009,Yadier Molina,STL,Catcher,26,0.293,0.366,0.383,0.749,481,141,45,6,54,9,-3.7,5.1,7007
2020,Willson Contreras,CHC,Catcher,28,0.243,0.356,0.407,0.763,189,46,37,7,26,1,2.1,1.6,11609
1978,Jim Sundberg,TEX,Catcher,27,0.278,0.358,0.38,0.739,518,144,54,6,58,2,4.7,5.2,1012724
