Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
2005,Derek Jeter,NYY,Shortstop,31,0.309,0.389,0.45,0.839,654,202,122,19,70,14,26.4,4.4,826
2003,Nomar Garciaparra,BOS,Shortstop,29,0.301,0.345,0.524,0.87,658,198,120,28,105,19,27.1,5.8,190
1988,Alan Trammell,DET,Shortstop,30,0.311,0.373,0.464,0.836,466,145,73,15,69,7,19.8,5.3,1013157
1994,Wil Cordero,MON,Shortstop,22,0.294,0.363,0.489,0.853,415,122,65,15,63,16,13.7,2.3,770
1980,Robin Yount,MIL,Shortstop,24,0.293,0.321,0.519,0.84,611,179,121,23,87,20,24.1,6.1,1014396
2018,Francisco Lindor,CLE,Shortstop,24,0.277,0.352,0.519,0.871,661,183,129,38,92,25,29.3,7.7,12916
1990,Alan Trammell,DET,Shortstop,32,0.304,0.377,0.449,0.826,559,170,71,14,89,12,20.8,6.2,1013157
2020,Xander Bogaerts,BOS,Shortstop,27,0.3,0.364,0.502,0.867,203,61,36,11,28,8,11.1,1.9,12161
1997,Alex Rodriguez,SEA,Shortstop,21,0.3,0.35,0.496,0.846,587,176,100,23,84,29,18.8,4.3,1274
2005,Miguel Tejada,BAL,Shortstop,31,0.304,0.349,0.515,0.865,654,199,89,26,98,5,20.5,4.7,941
2018,Javier Baez,CHC,Shortstop,25,0.29,0.326,0.554,0.881,606,176,101,34,111,21,28.5,5.4,12979
2016,Manny Machado,BAL,Shortstop,23,0.294,0.343,0.533,0.876,640,188,105,37,96,0,25.7,6.3,11493
2012,Ben Zobrist,TBR,Shortstop,31,0.27,0.377,0.471,0.848,560,151,88,20,74,14,24.8,5.7,7435
2007,Troy Tulowitzki,COL,Shortstop,22,0.291,0.359,0.479,0.838,609,177,104,24,99,7,8.4,5.2,3531
2007,Carlos Guillen,DET,Shortstop,31,0.296,0.357,0.502,0.859,564,167,86,21,102,13,16.3,3.3,1079
2017,Corey Seager,LAD,Shortstop,23,0.295,0.375,0.479,0.854,539,159,85,22,77,4,24.9,6,13624
2020,Chris Taylor,LAD,Shortstop,29,0.27,0.366,0.476,0.842,185,50,30,8,32,3,7.8,1.5,13757
1997,Jay Bell,KCR,Shortstop,31,0.291,0.368,0.461,0.829,573,167,89,21,92,10,12.8,5.4,48
2019,Tim Anderson,CHW,Shortstop,26,0.335,0.357,0.508,0.865,498,167,81,18,56,17,20.9,3.4,15172
2012,Ian Desmond,WSN,Shortstop,26,0.292,0.335,0.511,0.845,513,150,72,25,73,21,17,4.2,6885
1987,Julio Franco,CLE,Shortstop,28,0.319,0.389,0.428,0.818,495,158,86,8,52,32,16.3,3.1,87
2014,Hanley Ramirez,LAD,Shortstop,30,0.283,0.369,0.448,0.817,449,127,64,13,71,14,21.4,3.7,8001
1999,Barry Larkin,CIN,Shortstop,35,0.293,0.39,0.42,0.81,583,171,108,12,75,30,10,5.1,335
1970,Jim Fregosi,CAL,Shortstop,28,0.278,0.353,0.459,0.812,601,167,95,22,82,0,22.4,6.8,1004330
1983,Roy Smalley,NYY,Shortstop,30,0.275,0.357,0.452,0.81,451,124,70,18,62,3,16,2.9,1012078
2002,Jose Hernandez,MIL,Shortstop,32,0.288,0.356,0.478,0.834,525,151,72,24,73,3,9.4,4.5,688
1999,Mark Grudzielanek,LAD,Shortstop,29,0.326,0.376,0.436,0.812,488,159,72,7,46,6,9.2,3.8,653
1978,Roy Smalley,MIN,Shortstop,25,0.273,0.362,0.433,0.796,586,160,80,19,77,2,15.6,5.6,1012078
2005,Felipe Lopez,CIN,Shortstop,25,0.291,0.352,0.486,0.838,580,169,97,23,85,15,17.4,4.7,1311
1996,John Valentin,BOS,Shortstop,29,0.296,0.374,0.436,0.811,527,156,84,13,59,9,2.4,2.8,1375
2009,Yunel Escobar,ATL,Shortstop,26,0.299,0.377,0.436,0.812,528,158,89,14,76,5,12,3.9,4191
1988,Cal Ripken,BAL,Shortstop,27,0.264,0.372,0.431,0.803,575,152,87,23,81,2,20.4,5,1010978
1986,Cal Ripken,BAL,Shortstop,25,0.282,0.355,0.461,0.816,627,177,98,25,81,4,19.3,6.9,1010978
2004,Michael Young,TEX,Shortstop,27,0.313,0.353,0.483,0.836,690,216,114,22,99,12,14.6,2.7,1286
1985,Cal Ripken,BAL,Shortstop,24,0.282,0.347,0.469,0.816,642,181,116,26,110,2,19.4,5.4,1010978
2008,Jose Reyes,NYM,Shortstop,25,0.297,0.358,0.475,0.833,688,204,113,16,68,56,25.4,5.8,1736
1994,Cal Ripken,BAL,Shortstop,33,0.315,0.364,0.459,0.823,444,140,71,13,75,1,7.5,4.6,1010978
2019,Gleyber Torres,NYY,Shortstop,22,0.278,0.337,0.535,0.871,546,152,96,38,90,5,18.4,3.6,16997
2000,Jose Valentin,CHW,Shortstop,30,0.273,0.343,0.491,0.835,568,155,107,25,92,19,9,4.5,256
2006,Hanley Ramirez,FLA,Shortstop,22,0.292,0.353,0.48,0.833,633,185,119,17,59,51,24.5,4.4,8001
1999,Tony Batista,None,Shortstop,25,0.277,0.33,0.518,0.848,519,144,77,31,100,4,6,3.9,124
2006,Jose Reyes,NYM,Shortstop,23,0.3,0.354,0.487,0.841,647,194,122,19,81,64,23.6,5.7,1736
1986,Alan Trammell,DET,Shortstop,28,0.277,0.347,0.469,0.816,574,159,107,21,75,25,18,5.7,1013157
2005,Bill Hall,MIL,Shortstop,25,0.291,0.342,0.495,0.837,501,146,69,17,62,18,13.3,3.4,1605
1984,Robin Yount,MIL,Shortstop,28,0.298,0.362,0.441,0.803,624,186,105,16,80,14,20.7,5.3,1014396
